No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|WISEA J000015.17+004833.1|  0.06324 |   0.80920 |*|907717| 3.027819 |SLS |19.9g|  0.000|20|0|17|10|9|4|0
2|WISEA J000107.13+003520.5|  0.27926 |   0.58928 |G|899378| 3.000000 |PUN |21.2g|  0.000|1|0|30|4|1|4|0
3|WISEA J000114.62+103737.9|  0.31094 |  10.62720 |QSO|911790| 3.041402 |SLS |     |  0.000|4|0|12|2|1|0|0
4|WISEA J000118.14-005114.9|  0.32556 |  -0.85408 |*|913583| 3.047384 |SLS |20.0g|  0.000|12|0|17|8|7|4|0
5|WISEA J000122.99+030211.3|  0.34585 |   3.03642 |EmLS|906940| 3.025226 |SLS |19.0 |  0.000|12|0|12|6|5|0|0
6|WISEA J000130.09+075757.1|  0.37534 |   7.96593 |QSO|899561| 3.000611 |SLS |     |  0.000|4|0|12|2|1|0|0
7|SDSS J000130.57+130847.3|  0.37739 |  13.14648 |XrayS|913748| 3.047935 |SLS |     |  0.000|8|0|27|8|3|0|0
8|WISEA J000207.85+135843.3|  0.53265 |  13.97883 |*|901982| 3.008687 |SLS |20.1g|  0.000|5|0|17|3|2|4|0
9|WISEA J000230.16-110544.0|  0.62552 | -11.09532 |*|912868| 3.045000 |PUN |21.1g|  0.000|3|0|17|2|1|4|0
10|WISEA J000304.23+202153.6|  0.76775 |  20.36455 |QSO|904394| 3.016733 |SLS |     |  0.000|1|0|12|2|1|0|0
11|WISEA J000347.33+340701.7|  0.94724 |  34.11720 |QSO|911402| 3.040110 |SLS |     |  0.000|4|0|12|2|1|0|0
12|WISEA J000359.01+323113.2|  0.99585 |  32.52039 |QSO|904684| 3.017700 |SLS |     |  0.000|3|0|12|2|1|0|0
13|WISEA J000418.16+010653.0|  1.07557 |   1.11477 |*|914367| 3.050000 |PUN |20.3g|  0.000|1|0|23|5|1|4|0
14|PHz G098.63-60.56|  1.18805 |   0.09140 |RadioS|908371| 3.030000 |PUN |     |  0.000|1|0|4|1|1|0|0
15|WISEA J000526.08-030001.7|  1.35869 |  -3.00050 |QSO|909212| 3.032803 |SLS |     |  0.000|4|0|12|2|1|0|0
16|WISEA J000643.56+010713.5|  1.68151 |   1.12051 |*|902938| 3.011878 |SLS |20.8g|  0.000|9|0|17|6|4|3|0
17|WISEA J000651.57+255234.4|  1.71444 |  25.87625 |QSO|907486| 3.027047 |SLS |     |  0.000|3|0|12|2|1|0|0
18|WISEA J000731.74+080017.3|  1.88228 |   8.00481 |QSO|901995| 3.008730 |SLS |     |  0.000|4|0|12|2|1|0|0
19|WISEA J000733.86+130830.4|  1.89106 |  13.14183 |QSO|913740| 3.047907 |SLS |     |  0.000|5|0|12|2|1|0|0
20|WISEA J000834.86+293720.0|  2.14469 |  29.62240 |RadioS|903637| 3.014209 |SLS | 1.08|  0.000|3|0|13|3|1|0|0
