No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
1|AM 2357-252|  0.05736 | -25.18645 |GPair| 25403| 0.084735 |SUN |15.98|  0.000|10|0|2|6|2|0|0
2|CGCG 498-059|  0.12050 |  32.78235 |GPair|  9558| 0.031882 |SUN |15.1 |  0.000|18|0|18|7|1|0|0
3|APMUKS(BJ) B235806.84-375815.5|  0.16977 | -37.69250 |GPair||||17.30|  0.000|0|0|2|1|0|0|0
4|PKS 2359-159|  0.42321 | -15.67794 |GPair||||16.91|  0.000|9|0|9|5|0|0|0
5|VV 254|  0.42381 |  23.49753 |GPair|  4353| 0.014520 |UUN |12.7 |  0.000|70|5|23|7|2|0|0
6|KUG 0002+180|  1.24655 |  18.29901 |GPair|  6262| 0.020888 |SUN |16:  |  0.000|6|0|17|6|1|0|0
7|ESO 409-IG 015|  1.38275 | -28.09808 |GPair|   737| 0.002459 |S1L |15.01|  0.000|56|2|25|21|11|13|1
8|UGC 00046|  1.59051 |  17.43498 |GPair|  5453| 0.018189 |S1L |14.60|  0.000|19|2|11|6|4|3|0
9|KUG 0005+345|  2.12758 |  34.78572 |GPair| 10406| 0.034711 |SUN |16:  |  0.000|6|1|6|6|1|0|0
10|HIPASS J0008-02|  2.21042 |  -2.39667 |GPair|  3708| 0.012367 |S1L |     |  0.000|2|0|1|1|1|0|0
11|CGCG 548-032|  2.42792 |  49.83861 |GPair|  9960| 0.033223 |SUN |15.2 |  0.000|3|0|2|2|2|0|0
12|KUG 0007+265|  2.46525 |  26.79159 |GPair| 17233| 0.057483 |S1L |15.5 |  0.000|16|0|16|8|5|0|0
13|NGC 0017|  2.77725 | -12.10768 |G|  5881| 0.019617 |UUN |15.25|  0.000|340|9|231|72|57|10|0
14|GALEXASC J001258.21-243800.8  |  3.24279 | -24.63353 |G| 20689| 0.069011 |SLS |15.2R|  0.000|7|0|10|6|1|0|1
15|CGCG 456-039|  3.32708 |  17.02500 |GPair|   854| 0.002849 |SUN |15.2 |  0.000|7|0|1|2|3|1|0
16|2MASS J00135934-2338039|  3.49737 | -23.63437 |GPair||||19.11|  0.000|0|0|8|2|0|0|0
17|ESO 410- G 004|  3.77923 | -29.21085 |G|  7399| 0.024680 |SUN |14.80|  0.000|14|0|15|7|2|13|2
18|AM 0012-574|  3.83055 | -57.47633 |G| 17317| 0.057763 |SLS |16.31|  0.000|9|0|34|9|3|2|0
19|AM 0014-270|  4.17105 | -26.85518 |GPair| 16665| 0.055589 |SUN |15.67|  0.000|7|0|5|6|3|0|2
