No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
5620|WISEA J212114.15+005215.4|320.30896 |   0.87089 |*|911936| 3.041890 |SLS |20.8g|  0.000|7|0|17|4|2|4|0
5621|WISEA J212253.64-082014.0|320.72349 |  -8.33718 |*|912868| 3.045000 |PUN |20.7g|  0.000|3|0|17|2|1|4|0
5622|WISEA J212458.81+052142.2|321.24508 |   5.36174 |QSO|910338| 3.036560 |SLS |     |  0.000|8|0|12|3|3|0|0
5623|WISEA J212644.71-070004.9|321.68624 |  -7.00086 |*|912868| 3.045000 |PUN |21.6g|  0.000|2|0|17|2|1|4|1
5624|WISEA J212745.84+081756.0|321.94100 |   8.29889 |QSO|911664| 3.040985 |SLS |     |  0.000|7|0|12|3|3|0|0
5625|WISEA J212900.71+030358.4|322.25299 |   3.06624 |QSO|903866| 3.014971 |SLS |     |  0.000|7|0|12|4|4|0|0
5626|WISEA J212916.84+003926.4|322.32002 |   0.65742 |*|908548| 3.030588 |SLS |21.7g|  0.000|7|0|17|4|2|4|0
5627|WISEA J212918.50+015445.2|322.32706 |   1.91262 |QSO|909230| 3.032864 |SLS |     |  0.000|4|0|12|2|1|0|0
5628|WISEA J212920.84+112935.4|322.33686 |  11.49332 |QSO|900717| 3.004468 |SLS |20.5g|  0.000|23|0|38|4|10|8|0
5629|WISEA J212925.38-000857.3|322.35545 |  -0.14963 |*|900876| 3.005000 |PUN |21.5g|  0.000|3|0|17|2|1|4|0
5630|SDSS J213008.97-074844.2|322.53740 |  -7.81230 |*|912868| 3.045000 |PUN |22.1g|  0.000|2|0|9|2|1|4|0
5631|WISEA J213044.75+063125.9|322.68643 |   6.52383 |QSO|911654| 3.040951 |SLS |     |  0.000|10|0|12|7|8|0|0
5632|WISEA J213127.35-085750.2|322.86399 |  -8.96397 |IrS|906273| 3.023000 |LMU |     |  0.000|1|0|12|2|1|0|0
5634|WISEA J213342.05+071407.7|323.42528 |   7.23577 |QSO|911379| 3.040032 |SLS |     |  0.000|7|0|12|3|3|0|0
